"decile","mean_predicted","observed_rate"
1,0.000781433041488387,0
2,0.0045622686481599,0.0139240506329116
3,0.0129068853606572,0.010126582278481
4,0.0285353168742492,0.0139416983523449
5,0.0515032893266384,0.0405063291139239
6,0.0781364483310455,0.0683544303797464
7,0.106770979269085,0.107731305449937
8,0.141059131424819,0.159493670886074
9,0.18795069354428,0.197468354430378
10,0.296825587465846,0.297468354430381
