midpoint,pe,boyce
0.059028898978232734,0.3579468060436633,0.9151515151515152
0.11149903140332851,1.2252109424600732,0.9151515151515152
0.16396916382842427,2.054526806541807,0.9151515151515152
0.21643929625352004,2.7986426076555975,0.9151515151515152
0.2689094286786158,3.712529422544274,0.9151515151515152
0.3213795611037116,4.292551355430149,0.9151515151515152
0.3738496935288073,5.029201967882557,0.9151515151515152
0.42631982595390305,4.458591142959959,0.9151515151515152
0.47878995837899885,4.213441245588088,0.9151515151515152
0.5312600908040946,6.24892010819103,0.9151515151515152
